"no","district","landid","eligible","voters","cducsu1","cducsu2","spd1","spd2","fdp1","fdp2","dielink1","dielinke2","greens1","greens2","pirates1","pirates2","afd1","afd2","turnout","area","population","popdensity","pop18_25","pop25_35","pop35_60","pop60_75","pop75_","abitur","localbusinesstax","unemployment","socialbenefits","land","east"
257,"Ostallgäu",9,244541,167668,59.2438628718658,54.6699429825608,14.9157859579645,14.8931221222893,1.69799842545984,4.57869122313143,2.82164754157025,3.143116158122,5.98742753536751,7.02877114297302,1.94431853424625,1.73199417897273,4.08068325500394,4.7659660758165,68.5643716186652,2329,320.6,136.9,8.2,11,36,17,9.8,35.6,420,3.1,20.3,"Bavaria",FALSE
258,"Stuttgart I",8,191191,152546,41.6038440863739,37.2307369580323,16.4212762052102,20.8238826321241,2.55267263645064,8.22571552187537,3.81786477521534,6.18305298074024,27.2193305625844,17.3940975181257,2.17311499482123,2.84373238236335,2.72114640829651,4.11744654071559,79.787228478328,114,300.6,2615.9,8.5,16.5,36.5,15.1,8.8,41.7,1217,5.9,61.1,"Baden-Württemberg",FALSE
259,"Stuttgart II",8,183064,134355,43.3344497785717,38.9438428045104,25.8196568791634,22.6779799784154,2.6750027911131,6.63912768412043,4.9369208440326,6.62573034126009,13.7732127572476,13.6511480778534,2.28052547355886,2.57526701648617,3.34710282460645,4.50076290424621,73.3923655115151,93.4,317.8,3376.2,8.5,16.5,36.5,15.1,8.8,41.7,1217,5.9,61.1,"Baden-Württemberg",FALSE
260,"Böblingen",8,247128,191149,53.5749598480766,46.4213780872513,23.3723430412924,19.7793344459035,3.40101177615368,7.07092372965592,3.98694212368362,4.30763435853706,9.28594970415749,10.260582059022,2.34476769431177,2.16218761280467,NA,5.05678816002176,77.348175844097,585.4,360.1,611,7.8,12,37.2,16.4,8.6,31.8,1041.8,3.5,33.5,"Baden-Württemberg",FALSE
261,"Esslingen",8,166975,129700,50.751734772552,44.4086353122591,24.964533538936,21.7463377023901,1.90747879722436,6.05936777178103,3.69159599074788,4.51966075558982,10.976098689283,11.9375481881264,2.26368542791056,2.21356977640709,2.98457979953739,4.4988434849653,77.6762988471328,208.7,245.3,1168.4,7.6,12.3,36.4,16.9,9.5,30.4,505.9,3.4,37.4,"Baden-Württemberg",FALSE
262,"Nürtingen",8,205756,160053,50.4270460409989,45.5124240095468,24.9998438017407,19.680355882114,2.49729777011365,6.79774824589355,3.25204775917977,4.08177291272266,9.79987879015076,11.5180596427433,2.0230798547981,2.25050452037763,3.15832880358381,4.74780229049127,77.787768035926,465.2,289.7,619.1,8,11.5,37.5,16.5,8.8,30.4,398,3.4,37.2,"Baden-Württemberg",FALSE
263,"Göppingen",8,179130,132632,48.3254418239942,45.2816816454551,23.8600036190361,21.4390192412088,3.31217202485071,5.76482296881597,3.55117920260571,4.1988358767115,10.563061704566,10.008896797153,1.92789070510887,1.98217624705953,5.19557874419446,6.22700404125701,74.0423156366884,642.4,252.7,392.3,8.2,11.1,36.6,17,9.8,25.4,339.8,4.1,41.9,"Baden-Württemberg",FALSE
264,"Waiblingen",8,221739,171509,50.774011859436,45.1643937052866,22.685689963792,19.8741756992344,3.7047618492324,7.77043770297769,3.62138430053233,4.46798710271764,10.4006203756071,10.2099598271811,2.18006052160528,2.08910319575066,3.79163775661919,5.34082759505332,77.3472415768088,513.4,315.9,612.8,7.8,11.3,37.4,16.8,9.2,27.6,428.7,3.8,39.9,"Baden-Württemberg",FALSE
265,"Ludwigsburg",8,209968,162815,49.709793323711,43.5967202039124,20.8684703497835,21.0901943924086,3.14835856647115,6.84212142615852,4.75324755090133,4.66418941743697,13.3071277216473,11.5726437981758,2.67112980990695,2.19083008322329,NA,5.06525811503854,77.5427684218548,339.3,310,905.9,7.7,12.5,36.9,16.3,8.8,30.6,615.5,3.8,36.6,"Baden-Württemberg",FALSE
266,"Neckar-Zaber",8,226751,177134,52.3293100138878,44.8090146442806,25.9475877019657,20.8028949834588,3.05079770117538,6.66105885939458,4.34529791005679,4.10480201429426,9.30030372486366,10.4728623527951,NA,2.15091399731277,NA,5.47777388869443,78.1182883427195,642.4,316.8,490.4,8,11.3,37.8,16.2,8.5,28.3,614.9,3.7,34.9,"Baden-Württemberg",FALSE
267,"Heilbronn",8,241656,173772,50.5127408328154,45.1994567594319,26.6044011693483,21.8291784637341,3.5552332942016,6.28812466910665,4.34707547821283,4.68314803305481,7.34928527035426,8.43749280666621,2.64657136938057,2.18044333954837,NA,5.33515180811638,71.9088290793525,904.9,353.6,388.6,8.4,12.4,37.1,15.5,8.9,25.7,707.2,4.5,42.7,"Baden-Württemberg",FALSE
268,"Schwäbisch Hall - Hohenlohe",8,224384,158389,51.4095044479099,45.9848853140054,22.5571220223627,19.7172783463498,3.86895554615535,6.53770148179482,4.18337131997803,4.75727481075075,9.82959675229972,9.87505445453914,2.66811457866392,2.12830436457077,NA,4.9239530522953,70.5883663719338,2260.8,298.6,131.5,8.7,11.8,37.2,15,8.9,23,554.9,3.2,28.3,"Baden-Württemberg",FALSE
269,"Backnang - Schwäbisch Gmünd",8,175434,130255,54.3149975048942,47.7801236037004,24.3161490921654,20.11285555257,2.7185136846954,5.69651836781697,3.89927450001919,4.1871713177997,8.01427968216191,8.949368546313,2.96034701163103,2.11968830371195,NA,5.57982419100994,74.2472952791363,838.7,241.6,287.6,8.3,10.9,37,16.4,9.4,27.6,397.6,3.6,34.9,"Baden-Württemberg",FALSE
270,"Aalen - Heidenheim",8,222959,162969,56.6322429419092,48.7264449067,24.2156483748443,22.0047984586026,1.75309414673956,4.45913026403795,4.86534248844872,4.59167080855868,7.61003626456565,8.30341966877136,3.02756966048758,1.91324730470212,NA,4.45176690045346,73.0937078117501,1644.8,301.3,183,8.3,11.2,36.4,16,10,26.7,610.3,4.2,35.8,"Baden-Württemberg",FALSE
271,"Karlsruhe-Stadt",8,205735,150050,38.9550149950017,37.1816061312896,29.2342552482506,22.5158280573142,3.14161946017994,5.98333888703765,4.83438853715428,5.95334888370543,13.5534821726091,14.8370543152283,3.43152282572476,4.00466511162946,3.98733755414862,5.55414861712762,72.9336282110482,173.5,300.7,1715,10.1,15.5,35.7,15.2,9.2,42.5,751.1,5.4,62.2,"Baden-Württemberg",FALSE
272,"Karlsruhe-Land",8,209733,159992,52.4076203810191,46.1304315215761,25.4606480324016,20.8860443022151,2.80639031951598,5.97092354617731,3.68518425921296,4.03832691634582,7.68663433171659,9.48484924246212,2.73388669433472,2.35074253712686,NA,5.9209210460523,76.2836558862935,718.4,281.1,389.3,7.7,10.6,37.9,17.2,9.5,27.4,396.6,3.1,28.1,"Baden-Württemberg",FALSE
273,"Rastatt",8,207555,148159,52.5449010859955,48.4290525718991,22.5986946456172,20.2775396702192,3.05550118453823,5.69388292307588,3.42402419022807,4.08682564002187,8.25667019890793,8.9248712531807,2.06399881208701,1.96140632698655,4.73882788085773,5.6675598512409,71.3830069138301,879,282,320.1,7.6,10.8,37.6,17.3,10.5,27.5,452,3.7,35.7,"Baden-Württemberg",FALSE
274,"Heidelberg",8,215943,168177,40.4698621095631,37.0627374730195,30.2360013557145,23.1393115586555,3.0800882403658,6.91295480357005,4.098063349923,5.59707926767632,12.1253203470153,14.6280406952199,2.03951788889087,2.72391587434667,4.84192249832022,6.0763362409842,77.8802739611842,305.6,311.2,1015.3,9.8,14.7,36.2,15.7,8.8,41,499.7,4.5,43.4,"Baden-Württemberg",FALSE
275,"Mannheim",8,198525,137796,39.0570118145665,34.5423669772708,31.7396731400041,27.1176231530669,2.73737989491712,5.38985166477982,6.49583442189904,7.42184098232169,12.0061540247903,10.9197654503759,3.34262242735638,3.11112078725072,NA,5.91308891404685,69.4098979977333,145,318,2172.5,9.1,14.8,36.6,15.7,9,33.1,868.8,5.9,85,"Baden-Württemberg",FALSE
276,"Odenwald - Tauber",8,213424,155585,58.2472603400071,51.1077546035929,21.0148793264132,19.454960311084,1.80415849856991,5.11360349648102,3.31522961725102,4.10000964103223,5.79683131407269,7.05980653661985,1.90763891120609,1.95970048526529,4.03637882829322,5.13802744480509,72.899486468251,2430.7,278.7,114.8,8.1,10.8,37.5,16.5,10,24.6,378.7,3.5,28.8,"Baden-Württemberg",FALSE
277,"Rhein-Neckar",8,197424,147782,48.9037907187614,43.2231259557998,25.5267894601508,21.9620792789379,2.50977791611969,6.39049410618343,3.94094003329228,4.70896320255511,8.14104559418603,9.41386637073527,2.61601548226442,2.64511239528495,4.51678824214045,5.94524366972974,74.855134127563,724.9,269,370.2,8.1,11.2,38,16.4,8.9,28.2,735.1,4.1,40.3,"Baden-Württemberg",FALSE
278,"Bruchsal - Schwetzingen",8,195953,145107,50.9582583886373,45.9357577511767,24.2937969911858,21.2677541400484,2.73315553350286,5.60482953958114,3.68348873589834,4.38090512518349,6.66956108251153,8.06025898130345,2.34034195455767,2.45060541531422,4.32577339480521,5.99557567863714,74.0519410266748,506.6,264.5,520.1,7.9,11.9,38.1,16.5,8.9,27.7,351.8,3.5,33.2,"Baden-Württemberg",FALSE
279,"Pforzheim",8,219976,159491,48.7406812923613,44.5147375086995,22.6087992425905,19.9309051921425,5.68307929601043,7.00415697437473,4.03471042253168,4.54445705400305,7.86188562364021,8.82871133794383,2.16752042434996,2.13491670376385,5.04417177144792,7.13457185671919,72.5038185983926,671.7,316,468.4,8.3,11.3,36.7,16.4,9.7,29,479.3,4.3,46.2,"Baden-Württemberg",FALSE
280,"Calw",8,197679,145151,57.535945325902,50.4736446872567,19.9047888061398,17.4197904251435,2.80535442401361,6.33409346129203,4.19838650784356,4.0978015997134,6.91417902735772,7.54111235885388,2.09299281437951,1.82017347451964,NA,6.20939573271972,73.4276276185128,1668.2,275.6,165.2,8.3,10.7,37.6,15.9,9.4,21.7,340.1,3.9,27.8,"Baden-Württemberg",FALSE
281,"Freiburg",8,219472,168260,34.5334601212409,35.0689409247593,29.7182931177939,21.8655651967194,1.89112088434566,4.78961131582075,4.80387495542613,7.78854154285035,20.6596933317485,19.6386544633306,2.27564483537383,2.95554498989659,2.50029715915845,3.79412813502912,76.6658161405555,452.9,315.8,693.6,10.6,15.2,36.7,13.8,7.9,44.4,529.2,5.1,57.1,"Baden-Württemberg",FALSE
282,"Lörrach - Müllheim",8,229316,164341,49.4125020536567,43.1347016264961,24.2800031641526,21.4967658709634,2.34634084008251,5.57316798607773,3.83653500952288,4.78030436713906,11.8461004861842,12.5306527281689,2.28001533397022,2.18691622906031,3.54080844098551,5.03039411954412,71.6657363637949,1155.1,315.4,270.7,8,10.9,37.4,16.3,9.6,30,383.3,3.5,36.5,"Baden-Württemberg",FALSE
283,"Emmendingen - Lahr",8,215623,153869,51.2104452488805,45.0201145129948,25.8479615777057,20.8820490157212,1.78203536774789,5.03610213883238,4.5506242323015,4.55972288115215,11.2875238027153,11.8886845303472,NA,2.38319609537984,NA,4.43429150771111,71.3601981235768,1194.5,285.1,237.4,8.2,11,37.6,15.8,9.1,23.8,374.9,3.3,32.4,"Baden-Württemberg",FALSE
284,"Offenburg",8,205119,145259,55.1311794794126,47.4827721518116,19.8693368397139,18.8959031798374,2.10864731273105,5.60378358655918,4.18769232887463,4.65513324475592,9.71437225920597,10.5404828616471,1.95237472376927,2.08455242015985,3.8297110678168,5.33047866225156,70.8169404102009,1104.7,272.9,246.5,8.4,11,37.2,16.1,9.7,27.2,511,3.7,37.2,"Baden-Württemberg",FALSE
285,"Rottweil - Tuttlingen",8,199241,143449,56.8264679433109,50.8877719607665,17.4584695606104,17.2583984552001,3.28618533416057,6.2914345865081,3.68772176871223,3.9045235588955,7.35174173399605,7.23950672364394,NA,1.79994283682703,4.95785958772804,5.72607686355429,71.9977313906274,1503.8,272.9,181.5,8.4,11.2,36.3,15.9,9.5,24,620.8,3.1,28.5,"Baden-Württemberg",FALSE
286,"Schwarzwald-Baar",8,166191,119181,55.8016797979544,48.5916379288645,18.6363598224549,18.8066889856605,2.47187051627357,5.81720240642384,3.47706429716146,4.07783119792584,7.53811429674193,8.90494290197263,NA,1.89627541302724,3.86219279918779,5.61918426594843,71.7132696716429,1266.8,227.5,179.1,8.2,11.2,35.6,17,10.8,25.5,454.3,3.8,35.5,"Baden-Württemberg",FALSE
287,"Konstanz",8,202393,147557,51.182932697195,43.0769126507045,18.9458988729779,19.9949849888518,3.71110824969334,7.27515468598575,4.05267117114064,4.94385220626605,13.0946007305651,12.5009318432877,2.16729806108826,2.16187642741449,3.96592503236038,5.43993168741571,72.9061775851932,818,282,343,9.4,11.9,36.7,16.3,9.6,28.4,384.5,4.3,39.2,"Baden-Württemberg",FALSE
288,"Waldshut",8,177313,128808,50.4696913235203,48.6072293646357,27.4509347245513,18.7333084901559,3.24824545059313,5.67278429911186,4.35764859325508,4.25594683560027,9.91242779951556,10.8587975902118,NA,1.81277560399975,NA,4.64179243525247,72.6444197548967,1861.4,244.7,131.1,8,10.8,36.7,16.5,9.8,27.5,351,3.1,29.9,"Baden-Württemberg",FALSE
289,"Reutlingen",8,199091,150014,51.2418840908182,45.5917447704881,19.9041422800539,19.0368898902769,3.77631421067367,6.96001706507393,3.97696215019931,4.72555894783154,12.2648552801739,10.79565907182,NA,2.17779673897103,4.28959963736718,5.49615369232205,75.3494633107473,1092.7,281.9,257.2,8.4,11.4,37.2,15.9,9.4,31.6,438.1,3.8,38.1,"Baden-Württemberg",FALSE
290,"Tübingen",8,193188,149768,46.3076224560654,41.3232466214412,20.1378131510069,20.3094118903905,2.24213450136211,5.48047647027402,6.40256930719513,6.55680786282784,16.3432776026922,14.6746968644837,2.93921264889696,2.65677581325784,3.39258052454463,4.55037124085252,77.5244839223968,789,271.8,343.8,10.4,13.2,37.6,14,7.7,36.8,312.1,3.4,31.6,"Baden-Württemberg",FALSE
291,"Ulm",8,220702,167199,51.4261448932111,48.068469309027,23.5174851524232,19.9953349003284,2.61425008522778,5.18065299433609,3.5957152853785,4.23866171448394,9.59395690165611,10.1812809885227,2.58374751045162,2.43721553358573,3.58195922224415,4.688425170007,75.7578091725494,1477.4,314.5,212.2,9,13.1,36.3,15.2,8.6,31.6,652.5,3.8,30.4,"Baden-Württemberg",FALSE
292,"Biberach",8,163772,121718,57.9536305230122,55.5110994265433,19.5418919140965,14.6354688706683,2.10897320034835,4.80701293153026,3.29696511608801,3.34790252879607,8.83517639133078,8.9444453573013,2.80237927011617,2.05639264529486,NA,4.16700898798863,74.3216178589747,1748.4,218.5,124.5,8.7,11.6,37,14.8,8.4,22.4,642.8,2.7,20.8,"Baden-Württemberg",FALSE
293,"Bodensee",8,171016,128696,53.0964443339342,48.1452414993473,20.2842357182818,17.9687014359421,3.8501585130851,6.28302355939579,4.46711630509107,4.37387331385591,11.0524025610742,11.6204077826817,2.19509541866103,2.01560266053335,NA,4.42049480947349,75.2537774243346,860.7,232.9,268.1,8.1,11.3,36.5,17.7,9,27,507.4,3.2,23.5,"Baden-Württemberg",FALSE
294,"Ravensburg",8,185006,135877,51.0108406867976,49.494027686805,19.8039403283852,17.1228390382478,2.44338629790178,5.18630820521501,3.25588583792695,4.24648763219677,13.4665911081346,12.1955886573887,2.03198480979121,2.08791774914077,2.7039160417142,3.82699058707508,73.4446450385393,1293.2,251.7,193.1,8.7,11.6,37.1,15.6,8.7,23.1,443.2,2.8,28,"Baden-Württemberg",FALSE
295,"Zollernalb - Sigmaringen",8,184370,132905,59.4153718821715,52.0492080809601,17.8202475452391,16.8895075429818,2.30916820285166,5.5626199164817,4.10819758474098,4.03220345359467,8.12760994695459,8.28260787780746,NA,2.06613746661149,NA,4.63564199992476,72.0860226718013,1656.4,246.8,149.3,8.6,10.6,37,16.3,9.9,24.3,413,4,33,"Baden-Württemberg",FALSE
296,"Saarbrücken",10,204905,142400,36.0421348314607,32.6636235955056,35.313202247191,30.4276685393258,1.69241573033708,4.38623595505618,10.6755617977528,11.4241573033708,5.21207865168539,7.66151685393258,2.74157303370787,2.88623595505618,3.99297752808989,4.61727528089888,69.495619921427,325.3,270.3,832.5,8.6,12.8,36.1,17.6,10.3,36.2,527,9,108.8,"Saarland",FALSE
297,"Saarlouis",10,211529,154287,43.2272323656562,38.9222682403573,33.8998100941751,29.8385476417326,1.21332322230648,3.55182225333307,7.08808908073914,8.72270508856871,3.61469209978806,5.10282784680498,2.36701731189277,2.42340573087817,4.15978014998023,4.95505130049842,72.9389350869148,891.4,270.3,303.6,7.8,10.8,37.8,17.6,10.6,31.2,549.5,5.6,52.4,"Saarland",FALSE
298,"St. Wendel",10,181521,138097,44.0740928477809,39.7626306147128,32.4902061594387,29.5886224899889,1.60828982526775,3.26871691637038,7.42014670847303,8.79019819402304,2.74662012932938,4.40849547781632,2.1977305806788,2.45552039508461,4.60907912554219,5.27672577970557,76.0776989990139,801.7,220.4,275.8,7.8,10.4,38.2,18.1,10.9,31.5,236.6,5.8,60.3,"Saarland",FALSE
299,"Homburg",10,198117,142644,38.7327893216679,35.67763102549,36.6408681753176,31.1019040408289,1.3249768654833,3.69170802837834,8.82757073553742,9.94083172092762,3.47298168867951,4.99635456100502,2.30574016432517,2.42071170185917,4.51683912397297,5.4569417571016,71.9998788594618,550.3,249.6,455.8,8,10.6,37.4,18.2,11.3,33.9,444.3,6.7,65.7,"Saarland",FALSE
